# SAMANVAYA ISRO SIH PS 26166 PLANETARY REGISTRATION EVALUATION REPORT
# Metric,Value,Unit
total_matches,185,count
inlier_count,148,count
inlier_ratio_percent,80.00,%
rmse_pixels,0.3631,pixels
control_point_rmse_pixels,N/A,pixels
spatial_uniformity_score,0.8766,normalized_shannon
mean_residual_pixels,0.3459,pixels
median_residual_pixels,0.3845,pixels
max_residual_pixels,0.4969,pixels
std_residual_pixels,0.1105,pixels
ce90_pixels,0.4714,pixels
meets_isro_mandate,True,boolean
processing_time_ms,2404.89,ms
#
# TIE POINT RESIDUAL TABLE
id,ref_x,ref_y,src_x,src_y,reprojected_ref_x,reprojected_ref_y,residual_pixels,confidence,subpixel_refined
74,121.277,29.822,120.000,32.000,121.630,29.605,0.4140,0.8802,False
75,43.324,79.333,40.195,79.585,43.076,79.174,0.2945,0.8771,True
76,59.119,95.237,55.968,95.711,59.317,94.884,0.4040,0.8743,True
77,19.140,96.019,16.000,96.000,19.266,96.221,0.2384,0.8707,False
78,149.694,188.507,144.000,192.000,150.010,188.736,0.3901,0.8672,False
79,217.402,43.098,215.980,47.898,217.816,43.046,0.4171,0.8656,True
80,149.805,196.949,144.000,200.000,150.231,196.729,0.4792,0.8582,False
81,121.564,37.651,120.000,40.000,121.850,37.590,0.2919,0.8536,False
82,77.845,174.664,72.000,176.000,77.560,174.734,0.2940,0.8527,False
83,42.976,87.474,40.000,88.000,43.110,87.593,0.1786,0.8478,False
84,29.530,192.570,23.932,192.134,29.826,192.210,0.4666,0.8440,True
85,101.762,142.732,96.867,144.618,101.590,142.682,0.1787,0.8388,True
86,169.303,20.802,168.000,24.000,169.330,20.426,0.3770,0.8346,False
87,115.032,93.895,112.000,96.000,115.391,93.707,0.4055,0.8310,False
88,90.814,86.327,87.843,87.935,91.012,86.280,0.2032,0.8242,True
89,99.218,78.848,95.910,80.859,98.888,79.003,0.3652,0.8213,True
90,169.870,44.575,168.000,48.000,169.993,44.360,0.2477,0.8205,False
91,106.226,54.180,104.000,56.000,106.297,53.968,0.2236,0.8161,False
92,228.830,154.415,224.000,160.000,228.927,154.598,0.2065,0.8159,False
93,78.255,189.492,72.233,191.101,78.205,189.831,0.3428,0.8077,True
94,156.226,132.686,152.000,136.000,156.455,132.590,0.2480,0.8071,False
95,69.412,167.279,64.000,168.000,69.330,166.953,0.3360,0.8060,False
96,21.600,192.356,16.000,192.000,21.865,192.297,0.2710,0.7930,False
97,122.312,53.505,120.000,56.000,122.289,53.561,0.0607,0.7818,False
98,35.123,95.530,32.000,96.000,35.309,95.802,0.3291,0.7815,False
99,124.813,141.176,120.000,144.000,124.706,141.440,0.2846,0.7739,False
100,93.189,158.679,88.000,160.000,93.139,158.297,0.3850,0.7599,False
101,27.130,104.329,23.708,103.974,27.212,103.996,0.3437,0.7577,True
102,138.983,60.948,136.216,64.153,138.713,61.284,0.4315,0.7574,True
103,185.352,28.793,184.142,32.488,185.662,28.486,0.4364,0.7528,True
104,44.691,135.689,40.000,136.000,44.413,135.597,0.2928,0.7510,False
105,59.809,103.608,56.000,104.000,59.574,103.170,0.4969,0.7394,False
106,82.258,54.836,79.646,56.467,81.951,55.056,0.3779,0.7370,True
107,203.191,90.988,200.000,96.000,203.232,91.409,0.4229,0.7174,False
108,185.276,12.496,184.000,16.000,185.064,12.053,0.4913,0.7146,False
109,191.207,227.325,184.000,232.000,191.052,227.567,0.2876,0.7028,False
110,85.515,166.694,80.000,168.000,85.351,166.514,0.2436,0.6940,False
111,124.266,149.654,119.116,151.981,124.042,149.437,0.3114,0.6857,True
112,152.898,13.152,152.000,16.000,153.145,12.845,0.3934,0.6853,False
113,21.468,200.321,15.080,200.148,21.162,200.480,0.3445,0.6846,True
114,132.392,133.823,127.760,136.884,132.266,134.123,0.3248,0.6650,True
115,219.826,130.951,216.000,136.000,220.289,130.877,0.4686,0.6534,False
116,218.197,50.741,216.000,56.000,218.061,51.120,0.4026,0.5917,False
117,229.141,146.615,224.000,152.000,228.704,146.619,0.4364,0.5883,False
118,87.047,222.334,80.000,224.000,86.882,222.523,0.2515,0.5719,False
119,43.145,103.609,39.587,104.065,43.132,103.668,0.0600,0.5713,True
120,94.275,206.281,88.000,208.000,94.453,206.293,0.1781,0.5703,False
121,44.411,111.598,40.353,111.762,44.108,111.345,0.3942,0.5639,True
122,134.375,205.222,128.000,208.000,134.463,205.170,0.1026,0.5517,False
123,130.474,69.699,128.000,72.000,130.722,69.328,0.4469,0.5393,False
124,161.342,21.073,160.000,24.000,161.349,20.625,0.4481,0.5383,False
125,180.632,155.316,175.830,159.066,180.878,154.974,0.4216,0.5330,True
126,139.274,85.271,135.833,88.029,138.987,85.126,0.3214,0.4931,True
127,219.326,114.708,215.601,120.176,219.451,115.107,0.4184,0.4902,True
128,77.329,150.647,71.943,152.036,76.849,150.772,0.4958,0.4844,True
129,222.067,194.804,216.000,200.000,222.071,194.723,0.0813,0.4811,False
130,60.793,127.415,56.427,127.829,60.651,126.984,0.4541,0.4607,True
131,132.353,125.817,128.086,128.080,132.350,125.321,0.4956,0.4504,True
132,114.497,53.373,112.000,56.000,114.294,53.764,0.4416,0.4486,False
133,157.848,181.259,152.220,184.453,158.012,180.969,0.3328,0.4360,True
134,91.854,94.281,88.199,96.125,91.592,94.455,0.3146,0.4260,True
135,147.312,85.165,144.000,88.000,147.143,84.885,0.3270,0.4004,False
136,107.207,77.982,104.403,79.764,107.350,77.689,0.3259,0.3952,True
137,100.699,158.009,96.000,160.000,101.144,158.079,0.4511,0.3875,False
138,181.220,131.341,176.437,135.186,180.822,131.123,0.4534,0.3852,True
139,92.826,134.134,88.000,136.000,92.483,134.307,0.3842,0.3402,False
140,146.897,77.323,144.000,80.000,146.923,76.900,0.4237,0.3336,False
141,133.058,141.763,128.080,144.622,132.798,141.844,0.2722,0.3138,True
142,146.387,61.312,144.000,64.000,146.482,60.933,0.3906,0.3114,False
143,138.488,69.056,136.000,72.000,138.713,69.122,0.2348,0.3094,False
144,44.659,127.437,40.000,128.000,44.196,127.595,0.4899,0.2913,False
145,188.791,155.393,184.092,159.802,189.141,155.484,0.3613,0.2570,True
146,138.051,29.157,136.000,32.000,137.612,29.205,0.4413,0.2443,False
147,149.299,165.254,144.000,168.000,149.348,164.762,0.4941,0.2158,False
